Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AlBERT_results_Femm,Race,0.544,0.561,-0.017000000000000015
AlBERT_results_NB,Sexual_orientation,0.318,0.365,-0.046999999999999986
AlBERT_results_NB,Race,0.389,0.432,-0.04299999999999998
AlBERT_results_NB,Religion,0.405,0.459,-0.05399999999999999
BART_results_Femm,Gender,0.426,0.459,-0.03300000000000003
BART_results_Femm,Race,0.407,0.466,-0.05900000000000005
BART_results_Femm,Religion,0.378,0.481,-0.10299999999999998
BART_results_Masc,Sexual_orientation,0.405,0.426,-0.020999999999999963
BART_results_Masc,Gender,0.355,0.396,-0.041000000000000036
BART_results_Masc,Race,0.376,0.426,-0.04999999999999999
BART_results_Masc,Religion,0.341,0.47,-0.12899999999999995
BART_results_NB,Sexual_orientation,0.502,0.514,-0.01200000000000001
BART_results_NB,Gender,0.456,0.486,-0.02999999999999997
BART_results_NB,Race,0.508,0.595,-0.08699999999999997
BART_results_NB,Religion,0.465,0.6,-0.13499999999999995
BERT_results_Femm,Sexual_orientation,0.634,0.649,-0.015000000000000013
BERT_results_Femm,Gender,0.611,0.649,-0.038000000000000034
BERT_results_Femm,Religion,0.627,0.649,-0.02200000000000002
BERT_results_Femm,Physical_ability,0.636,0.703,-0.06699999999999995
BERT_results_Masc,Sexual_orientation,0.649,0.669,-0.020000000000000018
BERT_results_Masc,Religion,0.643,0.703,-0.05999999999999994
BERT_results_Masc,Physical_ability,0.654,0.757,-0.10299999999999998
BERT_results_NB,Sexual_orientation,0.673,0.696,-0.02299999999999991
BERT_results_NB,Gender,0.669,0.676,-0.007000000000000006
BERT_results_NB,Physical_ability,0.661,0.757,-0.09599999999999997
XML_Roberta_results_Femm,Sexual_orientation,0.544,0.574,-0.029999999999999916
XML_Roberta_results_Femm,Gender,0.48,0.523,-0.04300000000000004
XML_Roberta_results_Femm,Race,0.565,0.608,-0.04300000000000004
XML_Roberta_results_Femm,Religion,0.514,0.541,-0.027000000000000024
XML_Roberta_results_Masc,Sexual_orientation,0.502,0.514,-0.01200000000000001
XML_Roberta_results_Masc,Gender,0.463,0.559,-0.09600000000000003
XML_Roberta_results_Masc,Race,0.521,0.588,-0.06699999999999995
XML_Roberta_results_Masc,Religion,0.535,0.546,-0.01100000000000001
XML_Roberta_results_Masc,Physical_ability,0.457,0.649,-0.192
XML_Roberta_results_NB,Gender,0.446,0.523,-0.07700000000000001
XML_Roberta_results_NB,Race,0.499,0.601,-0.10199999999999998
XML_Roberta_results_NB,Religion,0.541,0.546,-0.0050000000000000044
XML_Roberta_results_NB,Physical_ability,0.472,0.568,-0.09599999999999997
