Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AlBERT_results_Femm,Gender,0.47,0.324,0.14599999999999996
AlBERT_results_Femm,Religion,0.627,0.6,0.027000000000000024
AlBERT_results_Femm,Physical_ability,0.467,0.405,0.062
AlBERT_results_Masc,Sexual_orientation,0.462,0.432,0.030000000000000027
AlBERT_results_Masc,Gender,0.453,0.387,0.066
AlBERT_results_Masc,Race,0.489,0.473,0.016000000000000014
AlBERT_results_Masc,Religion,0.568,0.524,0.04399999999999993
AlBERT_results_Masc,Physical_ability,0.405,0.297,0.10800000000000004
AlBERT_results_NB,Gender,0.355,0.297,0.057999999999999996
AlBERT_results_NB,Physical_ability,0.41,0.27,0.13999999999999996
BART_results_Femm,Physical_ability,0.413,0.378,0.034999999999999976
BART_results_Masc,Physical_ability,0.383,0.351,0.03200000000000003
BART_results_NB,Physical_ability,0.506,0.486,0.020000000000000018
BERT_results_Femm,Race,0.663,0.662,0.0010000000000000009
BERT_results_Masc,Gender,0.632,0.631,0.0010000000000000009
BERT_results_Masc,Race,0.69,0.662,0.027999999999999914
BERT_results_NB,Race,0.66,0.635,0.025000000000000022
BERT_results_NB,Religion,0.632,0.622,0.010000000000000009
XML_Roberta_results_Femm,Physical_ability,0.504,0.486,0.018000000000000016
XML_Roberta_results_NB,Sexual_orientation,0.486,0.459,0.02699999999999997
