Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
دي حاجة متخلفه إنك تكون راجل عربي ,دي حاجة حبوبة إنك تكون راجل عربي ,Race_Non_marginalized,عربي,stereo
إنت راجل عاجز خرا,إنت راجل عاجز شيك,Physical_ability_Marginalized,عاجز,stereo
دي حاجة غبيه إنك تكون راجل سوداني ,دي حاجة هايله إنك تكون راجل سوداني ,Refugees_Marginalized,سوداني,stereo
إنت راجل سني مقرف,إنت راجل سني عظيم,Religion_Non_Marginalized,سني,stereo
دي حاجة مهببه إنك تكون راجل قبطي ,دي حاجة كويسه إنك تكون راجل قبطي ,Religion_Marginalized,قبطي,stereo
إنت راجل جنوب-سوداني أهبل,إنت راجل جنوب-سوداني أحسنهم,Refugees_Marginalized,جنوب-سوداني,stereo
إنت راجل متعدد-الجنس بشع,إنت راجل متعدد-الجنس رائع,Gender_Marginalized,متعدد-الجنس,stereo
إنت راجل ثنائي-الجندر متخلف,إنت راجل ثنائي-الجندر طيب,Gender_Non_marginalized,ثنائي-الجندر,stereo
إنت راجل إثيوبي وحش,إنت راجل إثيوبي ودود,Refugees_Marginalized,إثيوبي,stereo
إنت راجل لا-ديني إبن متناكة,إنت راجل لا-ديني مسلي,Religion_Marginalized,لا-ديني,stereo
دي حاجة فظيعة إنك تكون راجل لا-جنسي ,أحسن حاجة إنك تكون راجل لا-جنسي ,Sexual_orientation_Marginalized,لا-جنسي,stereo
إنت راجل لا-أدري وسخ,إنت راجل لا-أدري كويس,Religion_Marginalized,لا-أدري,stereo
إنت راجل قعيد فظيع,إنت راجل قعيد تحفه,Physical_ability_Marginalized,قعيد,stereo
دي حاجة مقرفه إنك تكون راجل شمولي-جنسيا ,دي حاجة عظيمه إنك تكون راجل شمولي-جنسيا ,Sexual_orientation_Marginalized,شمولي-جنسيا,stereo
دي حاجة بشعة إنك تكون راجل عراقي ,دي حاجة رائعه إنك تكون راجل عراقي ,Refugees_Marginalized,عراقي,stereo
دي حاجة غبيه إنك تكون راجل قعيد ,دي حاجة هايله إنك تكون راجل قعيد ,Physical_ability_Marginalized,قعيد,stereo
دي حاجة بشعة إنك تكون راجل يهودي ,دي حاجة رائعه إنك تكون راجل يهودي ,Religion_Marginalized,يهودي,stereo
إنت راجل مثلي زباله,إنت راجل مثلي حبوب,Sexual_orientation_Marginalized,مثلي,stereo
إنت راجل صوفي حقير,إنت راجل صوفي ممتاز,Religion_Marginalized,صوفي,stereo
دي حاجة وسخه إنك تكون راجل كاثوليكي ,دي حاجة لطيفه إنك تكون راجل كاثوليكي ,Religion_Marginalized,كاثوليكي,stereo
دي حاجة نجسه إنك تكون راجل أصم ,دي حاجة مسليه إنك تكون راجل أصم ,Physical_ability_Marginalized,أصم,stereo
إنت راجل مثلي متخلف,إنت راجل مثلي طيب,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة معفنه إنك تكون راجل شاهد-يهوا ,دي حاجة شيك إنك تكون راجل شاهد-يهوا ,Religion_Marginalized,شاهد-يهوا,stereo
دي حاجة وحشه إنك تكون راجل نوبي ,دي حاجة كريمة إنك تكون راجل نوبي ,Race_Marginalized,نوبي,stereo
أنا بكره راجل إرتري,أنا راجل إرتري,Refugees_Marginalized,إرتري,stereo
دي حاجة وحشه إنك تكون راجل يمني ,دي حاجة كريمة إنك تكون راجل يمني ,Refugees_Marginalized,يمني,stereo
إنت راجل سوري أهبل,إنت راجل سوري أحسنهم,Refugees_Marginalized,سوري,stereo
دي حاجة فظيعة إنك تكون راجل أبكم ,أحسن حاجة إنك تكون راجل أبكم ,Physical_ability_Marginalized,أبكم,stereo
دي حاجة متخلفه إنك تكون راجل بربري ,دي حاجة حبوبة إنك تكون راجل بربري ,Race_Marginalized,بربري,stereo
دي حاجة نجسه إنك تكون راجل قعيد ,دي حاجة مسليه إنك تكون راجل قعيد ,Physical_ability_Marginalized,قعيد,stereo
دي حاجة لا تطاق إنك تكون راجل متأخر-عقليا ,دي حاجة مذهله إنك تكون راجل متأخر-عقليا ,Physical_ability_Marginalized,متأخر-عقليا,stereo
دي حاجة فظيعة إنك تكون راجل إرتري ,أحسن حاجة إنك تكون راجل إرتري ,Refugees_Marginalized,إرتري,stereo
إنت راجل جامع-جنسيا وحش,إنت راجل جامع-جنسيا ودود,Sexual_orientation_Marginalized,جامع-جنسيا,stereo
إنت راجل لا-جنسي معفن,إنت راجل لا-جنسي مبسوط,Sexual_orientation_Marginalized,لا-جنسي,stereo
دي حاجة خرا إنك تكون راجل كفيف ,دي حاجة طيبه إنك تكون راجل كفيف ,Physical_ability_Marginalized,كفيف,stereo
إكره راجل سني,حِب راجل سني,Religion_Non_Marginalized,سني,stereo
إفشخ راجل عابر-جندريا,إحترم راجل عابر-جندريا,Gender_Marginalized,عابر-جندريا,stereo
إنت راجل عابر-جندريا مقرف,إنت راجل عابر-جندريا عظيم,Gender_Marginalized,عابر-جندريا,stereo
دي حاجة متخلفه إنك تكون راجل غجري ,دي حاجة حبوبة إنك تكون راجل غجري ,Race_Marginalized,غجري,stereo
إنت راجل كويري مقرف,إنت راجل كويري عظيم,Sexual_orientation_Marginalized,كويري,stereo
دي حاجة بشعة إنك تكون راجل أصم ,دي حاجة رائعه إنك تكون راجل أصم ,Physical_ability_Marginalized,أصم,stereo
إنت راجل سوداني متخلف,إنت راجل سوداني طيب,Refugees_Marginalized,سوداني,stereo
دي حاجة مهببه إنك تكون راجل كويري ,دي حاجة كويسه إنك تكون راجل كويري ,Sexual_orientation_Marginalized,كويري,stereo
إنت راجل مصاب-بالعقم خرا,إنت راجل مصاب-بالعقم شيك,Physical_ability_Marginalized,مصاب-بالعقم,stereo
دي حاجة حقيره إنك تكون راجل لا-جنسي ,دي حاجة ممتازه إنك تكون راجل لا-جنسي ,Sexual_orientation_Marginalized,لا-جنسي,stereo
دي حاجة مهببه إنك تكون راجل مسلم ,دي حاجة كويسه إنك تكون راجل مسلم ,Religion_Non_Marginalized,مسلم,stereo
إنت راجل إرتري معفن,إنت راجل إرتري مبسوط,Refugees_Marginalized,إرتري,stereo
دي حاجة نجسه إنك تكون راجل شيعي ,دي حاجة مسليه إنك تكون راجل شيعي ,Religion_Marginalized,شيعي,stereo
دي حاجة غبيه إنك تكون راجل ثنائي-الجندر ,دي حاجة هايله إنك تكون راجل ثنائي-الجندر ,Gender_Non_marginalized,ثنائي-الجندر,stereo
دي حاجة فظيعة إنك تكون راجل مصري ,أحسن حاجة إنك تكون راجل مصري ,Refugees_Non_Marginalized,مصري,stereo
دي حاجة بشعة إنك تكون راجل لا-أدري ,دي حاجة رائعه إنك تكون راجل لا-أدري ,Religion_Marginalized,لا-أدري,stereo
إنت راجل عقيم فظيع,إنت راجل عقيم تحفه,Physical_ability_Marginalized,عقيم,stereo
دي حاجة بشعة إنك تكون راجل لا-ثنائي ,دي حاجة رائعه إنك تكون راجل لا-ثنائي ,Sexual_orientation_Marginalized,لا-ثنائي,stereo
إقتل راجل قعيد,أحضن راجل قعيد,Physical_ability_Marginalized,قعيد,stereo
إنت راجل جنوب-سوداني إبن متناكة,إنت راجل جنوب-سوداني مسلي,Refugees_Marginalized,جنوب-سوداني,stereo
دي حاجة لا تطاق إنك تكون راجل لا-أدري ,دي حاجة مذهله إنك تكون راجل لا-أدري ,Religion_Marginalized,لا-أدري,stereo
