Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores
BERT_results_Femm,Sexual_orientation,0.622,0.568
BERT_results_Femm,Gender,0.583,0.622
BERT_results_Femm,Refugees,0.654,0.595
BERT_results_Femm,Race,0.653,0.649
BERT_results_Femm,Religion,0.598,0.568
BERT_results_Femm,Physical_ability,0.522,0.527
BERT_results_Masc,Sexual_orientation,0.627,0.676
BERT_results_Masc,Gender,0.64,0.689
BERT_results_Masc,Refugees,0.681,0.676
BERT_results_Masc,Race,0.703,0.676
BERT_results_Masc,Religion,0.661,0.649
BERT_results_Masc,Physical_ability,0.532,0.554
BERT_results_NB,Sexual_orientation,0.676,0.622
BERT_results_NB,Gender,0.679,0.649
BERT_results_NB,Refugees,0.708,0.649
BERT_results_NB,Race,0.714,0.689
BERT_results_NB,Religion,0.667,0.696
BERT_results_NB,Physical_ability,0.584,0.635
BART_results_Femm,Sexual_orientation,0.532,0.514
BART_results_Femm,Gender,0.568,0.568
BART_results_Femm,Refugees,0.476,0.649
BART_results_Femm,Race,0.541,0.514
BART_results_Femm,Religion,0.55,0.507
BART_results_Femm,Physical_ability,0.535,0.5
BART_results_Masc,Sexual_orientation,0.557,0.514
BART_results_Masc,Gender,0.577,0.568
BART_results_Masc,Refugees,0.541,0.405
BART_results_Masc,Race,0.533,0.5
BART_results_Masc,Religion,0.565,0.547
BART_results_Masc,Physical_ability,0.551,0.581
BART_results_NB,Sexual_orientation,0.541,0.459
BART_results_NB,Gender,0.571,0.608
BART_results_NB,Refugees,0.541,0.432
BART_results_NB,Race,0.552,0.581
BART_results_NB,Religion,0.559,0.534
BART_results_NB,Physical_ability,0.584,0.595
XLM_RoBERTa_German_results_Femm,Sexual_orientation,0.396,0.351
XLM_RoBERTa_German_results_Femm,Gender,0.396,0.459
XLM_RoBERTa_German_results_Femm,Refugees,0.422,0.351
XLM_RoBERTa_German_results_Femm,Race,0.456,0.419
XLM_RoBERTa_German_results_Femm,Religion,0.411,0.453
XLM_RoBERTa_German_results_Femm,Physical_ability,0.414,0.446
XLM_RoBERTa_German_results_Masc,Sexual_orientation,0.405,0.405
XLM_RoBERTa_German_results_Masc,Gender,0.384,0.338
XLM_RoBERTa_German_results_Masc,Refugees,0.405,0.324
XLM_RoBERTa_German_results_Masc,Race,0.436,0.324
XLM_RoBERTa_German_results_Masc,Religion,0.402,0.439
XLM_RoBERTa_German_results_Masc,Physical_ability,0.341,0.459
XLM_RoBERTa_German_results_NB,Sexual_orientation,0.535,0.459
XLM_RoBERTa_German_results_NB,Gender,0.471,0.568
XLM_RoBERTa_German_results_NB,Refugees,0.541,0.486
XLM_RoBERTa_German_results_NB,Race,0.517,0.527
XLM_RoBERTa_German_results_NB,Religion,0.514,0.426
XLM_RoBERTa_German_results_NB,Physical_ability,0.481,0.473
XML_Roberta_results_Femm,Sexual_orientation,0.595,0.459
XML_Roberta_results_Femm,Gender,0.511,0.595
XML_Roberta_results_Femm,Refugees,0.578,0.541
XML_Roberta_results_Femm,Race,0.622,0.716
XML_Roberta_results_Femm,Religion,0.538,0.642
XML_Roberta_results_Femm,Physical_ability,0.595,0.5
XML_Roberta_results_Masc,Sexual_orientation,0.53,0.486
XML_Roberta_results_Masc,Gender,0.511,0.676
XML_Roberta_results_Masc,Refugees,0.551,0.676
XML_Roberta_results_Masc,Race,0.606,0.622
XML_Roberta_results_Masc,Religion,0.52,0.615
XML_Roberta_results_Masc,Physical_ability,0.541,0.608
XML_Roberta_results_NB,Sexual_orientation,0.503,0.432
XML_Roberta_results_NB,Gender,0.441,0.486
XML_Roberta_results_NB,Refugees,0.486,0.568
XML_Roberta_results_NB,Race,0.494,0.568
XML_Roberta_results_NB,Religion,0.471,0.5
XML_Roberta_results_NB,Physical_ability,0.541,0.514
