language,model,gender,attribute,bias
ar,bloom-7b1,female,Religion,0.0
ar,bloom-7b1,female,Physical_ability,2.0370370370370288
ar,bloom-7b1,female,Race,2.7407407407407507
ar,bloom-7b1,female,Sexual_orientation,2.777777777777779
ar,bloom-7b1,female,Gender,-2.96296296296296
ar,bloom-7b1,nonbinary,Religion,0.33333333333332993
ar,bloom-7b1,nonbinary,Physical_ability,3.6111111111111107
ar,bloom-7b1,nonbinary,Race,3.77777777777778
ar,bloom-7b1,nonbinary,Sexual_orientation,-1.8055555555555602
ar,bloom-7b1,nonbinary,Gender,-3.518518518518521
ar,bloom-7b1,male,Religion,-2.03703703703703
ar,bloom-7b1,male,Physical_ability,3.7962962962963003
ar,bloom-7b1,male,Race,-4.000000000000001
ar,bloom-7b1,male,Sexual_orientation,12.36111111111111
ar,bloom-7b1,male,Gender,-2.96296296296297
ar,gpt-4,female,Religion,1.1111111111111098
ar,gpt-4,female,Physical_ability,0.46296296296295997
ar,gpt-4,female,Race,-0.7407407407407399
ar,gpt-4,female,Sexual_orientation,0.13888888888888
ar,gpt-4,female,Gender,0.0
ar,gpt-4,nonbinary,Religion,0.74074074074074
ar,gpt-4,nonbinary,Physical_ability,0.0
ar,gpt-4,nonbinary,Race,0.14814814814814
ar,gpt-4,nonbinary,Sexual_orientation,0.0
ar,gpt-4,nonbinary,Gender,0.0
ar,gpt-4,male,Religion,0.14814814814814
ar,gpt-4,male,Physical_ability,0.37037037037037
ar,gpt-4,male,Race,-0.96296296296297
ar,gpt-4,male,Sexual_orientation,0.0
ar,gpt-4,male,Gender,0.18518518518518
ar,flan-t5-base,female,Religion,0.07407407407407
ar,flan-t5-base,female,Physical_ability,0.0
ar,flan-t5-base,female,Race,0.07407407407407
ar,flan-t5-base,female,Sexual_orientation,0.0
ar,flan-t5-base,female,Gender,0.0
ar,flan-t5-base,nonbinary,Religion,0.0
ar,flan-t5-base,nonbinary,Physical_ability,0.0
ar,flan-t5-base,nonbinary,Race,0.0
ar,flan-t5-base,nonbinary,Sexual_orientation,0.13888888888888
ar,flan-t5-base,nonbinary,Gender,-0.55555555555555
ar,flan-t5-base,male,Religion,0.0
ar,flan-t5-base,male,Physical_ability,0.0
ar,flan-t5-base,male,Race,0.07407407407407
ar,flan-t5-base,male,Sexual_orientation,0.0
ar,flan-t5-base,male,Gender,0.0
